Year,Fossil CO2 Emissions (tons),CO2 emisions change,CO2 emissions per capita,Population,Pop. change,Share of World's CO2 emissions
2022,"53,439,690",-2.96%,9.46,"5,649,885",1.87%,0.15%
2021,"55,071,560",2.10%,9.93,"5,546,290",-1.31%,0.15%
2020,"53,938,240",-3.66%,9.6,"5,620,150",-0.87%,0.15%
2019,"55,988,190",3.00%,9.88,"5,669,563",0.62%,0.15%
2018,"54,355,610",-4.47%,9.65,"5,634,369",0.54%,0.15%
2017,"56,897,430",7.39%,10.15,"5,604,078",0.47%,0.16%
2016,"52,983,890",-4.00%,9.5,"5,577,930",0.95%,0.15%
2015,"55,190,130",2.44%,9.99,"5,525,340",1.24%,0.15%
2014,"53,874,680",2.35%,9.87,"5,457,900",1.34%,0.15%
2013,"52,635,170",4.93%,9.77,"5,385,588",1.74%,0.15%
2012,"50,161,450",-2.30%,9.48,"5,293,340",2.14%,0.14%
2011,"51,343,880",5.02%,9.91,"5,182,239",2.07%,0.14%
2010,"48,890,680",11.72%,9.63,"5,077,014",2.18%,0.13%
2009,"43,762,440",1.96%,8.81,"4,968,568",3.37%,0.12%
2008,"42,920,020",-1.01%,8.93,"4,806,741",4.57%,0.12%
2007,"43,358,310",3.59%,9.43,"4,596,515",4.30%,0.12%
2006,"41,854,170",0.57%,9.5,"4,407,058",3.25%,0.12%
2005,"41,618,380",-6.29%,9.75,"4,268,364",2.29%,0.11%
2004,"44,411,210",4.92%,10.64,"4,172,767",0.83%,0.12%
2003,"42,328,980",-6.15%,10.23,"4,138,245",-0.21%,0.12%
2002,"45,103,470",-1.48%,10.88,"4,146,892",0.75%,0.12%
2001,"45,779,090",0.84%,11.12,"4,116,166",2.01%,0.13%
2000,"45,397,080",9.92%,11.25,"4,035,245",1.73%,0.13%
1999,"41,299,390",0.81%,10.41,"3,966,557",1.67%,0.11%
1998,"40,966,580",-2.68%,10.5,"3,901,418",2.76%,0.11%
1997,"42,095,650",-0.77%,11.09,"3,796,622",3.60%,0.12%
1996,"42,421,200",2.84%,11.58,"3,664,560",3.71%,0.12%
1995,"41,249,990",-0.73%,11.67,"3,533,624",3.39%,0.11%
1994,"41,554,500",5.50%,12.16,"3,417,817",3.01%,0.11%
1993,"39,386,520",15.44%,11.87,"3,317,892",2.83%,0.11%
1992,"34,118,160",2.14%,10.57,"3,226,465",2.88%,0.09%
1991,"33,402,620",5.77%,10.65,"3,136,291",3.18%,0.09%
1990,"31,580,520",35.02%,10.39,"3,039,591",3.43%,0.09%
1989,"23,389,990",5.95%,7.96,"2,938,655",3.15%,0.06%
1988,"22,076,920",12.66%,7.75,"2,849,045",2.42%,0.06%
1987,"19,595,440",1.94%,7.04,"2,781,615",1.35%,0.05%
1986,"19,223,200",1.90%,7,"2,744,653",0.35%,0.05%
1985,"18,865,370",4.44%,6.9,"2,735,030",0.52%,0.05%
1984,"18,063,110",7.22%,6.64,"2,720,923",1.30%,0.05%
1983,"16,846,680",8.54%,6.27,"2,685,981",2.23%,0.05%
1982,"15,521,420",4.39%,5.91,"2,627,417",3.78%,0.04%
1981,"14,868,990",8.30%,5.87,"2,531,802",3.87%,0.04%
1980,"13,729,290",0.35%,5.63,"2,437,493",2.07%,0.04%
1979,"13,681,260",7.53%,5.73,"2,388,157",1.17%,0.04%
1978,"12,723,060",14.60%,5.39,"2,360,602",1.25%,0.04%
1977,"11,101,950",10.96%,4.76,"2,331,545",1.34%,0.03%
