DataSeries,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Total,15534.2,14900.6,16236.3,15074.3,15456.6,15059,15582.2,14475.5,13780.5,12896.5,12501.6,12557.5,10683.8
    Industry-Related,10087.8,9872.8,10962.6,9866.6,10268.1,9683.1,10331.4,9718.9,9120.4,8148,7733.2,7964.4,6245.9
    Commerce And Services-Related,1881.4,1739,1819.3,1760,1716.6,1691.3,1671.3,1629.8,1614.2,1558,1516.4,1492.6,1423.9
    Transport-Related,2733.2,2457.8,2682.5,2711.4,2731.7,2919,2846,2427,2355.1,2512.9,2584.1,2420.4,2345.3
    Households,808.9,808.2,747.2,710.3,714.1,738.9,707.5,678.4,667.5,650.7,637.4,646.2,632.3
    Others,22.9,22.8,24.8,26.1,26.2,26.7,26,21.3,23.4,26.9,30.6,33.9,36.4
Coal And Peat,184.6,182.7,180.9,182.5,600.5,166.8,162.9,162.2,129,23,5.7,5.9,3
    Industry-Related,184.6,182.7,180.9,182.5,600.5,166.8,162.9,162.2,129,23,5.7,5.9,3
    Commerce And Services-Related,-,-,-,-,-,-,-,-,-,-,-,-,-
    Transport-Related,-,-,-,-,-,-,-,-,-,-,-,-,-
    Households,-,-,-,-,-,-,-,-,-,-,-,-,-
    Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Crude Oil,-,-,-,-,-,-,-,-,-,-,-,-,-
    Industry-Related,-,-,-,-,-,-,-,-,-,-,-,-,-
    Commerce And Services-Related,-,-,-,-,-,-,-,-,-,-,-,-,-
    Transport-Related,-,-,-,-,-,-,-,-,-,-,-,-,-
    Households,-,-,-,-,-,-,-,-,-,-,-,-,-
    Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Petroleum Products,9009.4,8713.3,10125.1,9073.5,9149.5,9351.2,9993.4,8968.3,8475,7946.8,7614,7790.2,6474.8
    Industry-Related,6423.7,6406.7,7611.1,6519.2,6562.8,6567.2,7265.1,6665.5,6225.3,5562,5153.4,5465.2,4177.7
    Commerce And Services-Related,75.2,69.3,70.4,74.4,75.2,77.3,80,78.9,87.3,68.3,68.9,84.2,78.5
    Transport-Related,2485.5,2214.3,2420.2,2455.1,2486.5,2680.9,2621.5,2199.8,2133.3,2292.7,2366.9,2219.1,2193.3
    Households,25.1,23.1,23.5,24.8,25.1,25.8,26.7,24.1,29.1,23.7,24.8,21.7,25.3
    Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Natural Gas,1741.5,1638.3,1482.4,1479.5,1438.5,1360.2,1340.4,1355.1,1311.7,1126.2,1183.9,1128.4,867.9
    Industry-Related,1562.7,1479.5,1325,1321.5,1278.4,1193.5,1176.1,1192.7,1145.9,966,1019.7,974.5,726.4
    Commerce And Services-Related,100.6,77.5,87.8,87.6,88.5,92.1,88.2,85.3,89.3,82.5,82.4,78.3,72.9
    Transport-Related,3.1,2,2.7,2.8,6.9,11.2,14.3,17.4,18.1,20,25.9,20.8,13.7
    Households,72,76.2,63.3,63.7,62.2,60.9,59.9,58.9,57.5,56.9,55.2,53.9,54
    Others,3.1,3,3.6,3.8,2.4,2.6,2,0.8,0.8,0.8,0.8,0.8,0.8
Electricity,4598.7,4366.3,4448,4338.9,4268.1,4180.8,4085.5,3989.9,3864.9,3800.6,3698,3633,3338.2
    Industry-Related,1916.9,1803.9,1845.6,1843.5,1826.3,1755.7,1727.3,1698.5,1620.2,1597,1554.4,1518.7,1338.8
    Commerce And Services-Related,1705.7,1592.2,1661.1,1597.9,1552.9,1521.9,1503.1,1465.7,1437.5,1407.2,1365.1,1330.2,1272.6
    Transport-Related,244.6,241.5,259.6,253.4,238.3,226.9,210.2,209.9,203.7,200.2,191.2,180.5,138.2
    Households,711.8,708.9,660.5,621.8,626.8,652.3,620.9,595.4,580.8,570,557.4,570.6,552.9
    Others,19.8,19.7,21.2,22.2,23.8,24.1,24,20.4,22.6,26.1,29.8,33.1,35.6
Others,-,-,-,-,-,-,-,-,-,-,-,-,-
    Industry-Related,-,-,-,-,-,-,-,-,-,-,-,-,-
    Commerce And Services-Related,-,-,-,-,-,-,-,-,-,-,-,-,-
    Transport-Related,-,-,-,-,-,-,-,-,-,-,-,-,-
    Households,-,-,-,-,-,-,-,-,-,-,-,-,-
    Others,-,-,-,-,-,-,-,-,-,-,-,-,-
